Current Time,City,State,Country,Temperature,Feels Like,Humidity,Precipitation,Pressure,Wind_Speed,Wind Direction,Visibility,Sunrise,Sunset
2025-07-31 18:48:19,Maui,Hawaii,US,75,75,70,0,1019,2,299,10000,11:59:12,01:03:51
2025-07-31 18:49:31,Perth Amboy,New Jersey,US,71,72,84,0,1014,9,20,10000,05:53:25,20:13:22
2025-07-31 20:05:15,Oslo,,NO,63,64,91,0,1006,1,335,10000,22:58:32,15:48:04
2025-07-31 21:03:06,Perth Amboy,New Jersey,US,69,70,81,0,1016,9,20,10000,05:53:25,20:13:22
2025-07-31 21:14:03,Perth Amboy,New Jersey,US,69,69,82,0,1016,9,20,10000,05:53:25,20:13:22
2025-08-01 19:38:24,Perth Amboy,New Jersey,US,72,72,71,0,1022,1,74,10000,05:54:23,20:12:19
2025-08-02 08:27:19,Mars,Auvergne-Rhône-Alpes,FR,66,64,42,0,1015,12,355,10000,00:29:06,15:08:44
2025-08-02 08:27:37,Pluto,West Virginia,US,62,62,95,0,1025,6,90,10000,06:28:36,20:31:43
2025-08-02 09:40:54,New York,New York,US,70,70,67,0,1024,13,10,10000,05:53:48,20:10:38
2025-08-02 10:57:26,Cleveland,Ohio,US,73,72,46,0,1027,10,90,10000,06:22:40,20:43:16
2025-08-02 11:05:17,Sydney,New South Wales,AU,58,57,84,0,1019,24,130,10000,16:46:07,03:16:33
2025-08-02 11:05:29,London,England,GB,69,68,52,0,1018,6,0,10000,00:25:49,15:47:37
2025-08-02 11:24:42,Aba,Abia State,NG,81,85,72,0,1012,8,245,10000,01:26:41,13:46:48
2025-08-02 11:28:55,Abiramam,Tamil Nadu,IN,81,86,74,0,1007,13,230,10000,20:36:42,09:08:13
2025-08-02 11:29:16,El Puerto,Santa Cruz Province,AR,37,31,93,0,1012,9,180,5000,08:11:52,17:14:23
2025-08-02 11:32:07,Abdul Khel,Khyber Pakhtunkhwa,PK,97,103,38,0,998,13,141,10000,20:31:24,10:13:43
2025-08-02 11:32:41,Abbeville,Louisiana,US,84,94,80,0,1019,3,0,10000,07:28:20,21:01:07
2025-08-02 11:42:23,Seville,Andalusia,ES,102,100,19,0,1008,9,250,10000,01:29:08,15:31:14
2025-08-02 11:42:53,San Juan,Puerto Rico,US,81,88,86,0,1016,9,190,10000,06:02:32,18:58:47
2025-08-02 11:53:22,Shah Alam,Selangor,MY,84,90,69,0,1009,3,190,10000,19:12:42,07:27:35
2025-08-02 11:53:36,Čata,Region of Nitra,SK,80,81,46,0,1009,4,203,10000,23:22:58,14:20:15
2025-08-02 11:53:47,Cataño,Puerto Rico,US,84,96,82,0,1016,1,33,10000,06:02:35,18:58:45
2025-08-02 11:54:20,Levittown,New York,US,76,76,57,0,1023,8,20,10000,05:51:48,20:08:42
2025-08-02 12:35:53,Perth Amboy,New Jersey,US,77,77,57,0,1023,7,20,10000,05:55:20,20:11:14
2025-08-02 13:26:18,Perth Amboy,New Jersey,US,79,79,52,0,1023,7,90,10000,05:55:20,20:11:14
